階層,地域コード,地域,流入人口／総数（人）,流入人口／都内他地域から（人）,流入人口／他道府県から（人）,流入人口／通勤者／総数（人）,流入人口／通勤者／都内他地域から（人）,流入人口／通勤者／他道府県から（人）,流入人口／通学者／総数（人）,流入人口／通学者／総数／うち15歳以上(人),流入人口／通学者／都内他地域から（人）,流入人口／通学者／都内他地域から／うち15歳以上(人),流入人口／通学者／他道府県から（人）,流入人口／通学者／他道府県から／うち15歳以上(人),流出人口／総数（人）,流出人口／都内他地域へ（人）,流出人口／他道府県へ（人）,流出人口／通勤者／総数（人）,流出人口／通勤者／都内他地域へ（人）,流出人口／通勤者／他道府県へ（人）,流出人口／通学者／総数（人）,流出人口／通学者／総数／うち15歳以上(人),流出人口／通学者／都内他地域へ（人）,流出人口／通学者／都内他地域へ／うち15歳以上(人),流出人口／通学者／他道府県へ（人）,流出人口／通学者／他道府県へ／うち15歳以上(人),流入超過人口／総数（人）,流入超過人口／都内他地域（人）,流入超過人口／他道府県（人）,流入超過人口／通勤者／総数（人）,流入超過人口／通勤者／都内他地域（人）,流入超過人口／通勤者／他道府県（人）,流入超過人口／通学者／総数（人）,流入超過人口／通学者／総数／うち15歳以上(人),流入超過人口／通学者／都内他地域（人）,流入超過人口／通学者／都内他地域／うち15歳以上(人),流入超過人口／通学者／他道府県（人）,流入超過人口／通学者／他道府県／うち15歳以上(人)
0,13000,東京都総数,2762478,-,2762478,2506080,-,2506080,256398,240391,-,-,256398,240391,494814,-,494814,438737,-,438737,56077,48132,-,-,56077,48132,2267664,-,2267664,2067343,-,2067343,200321,192259,-,-,200321,192259
1,13100,区部,3037953,531955,2505998,2786927,482030,2304897,251026,234316,49925,46299,201101,188017,424904,106503,318401,359001,79494,279507,65903,54483,27009,21919,38894,32564,2613049,425452,2187597,2427926,402536,2025390,185123,179833,22916,24380,162207,155453
2,13101,千代田区,850920,463699,387221,796251,435173,361078,54669,49475,28526,24495,26143,24980,13824,11980,1844,12079,10499,1580,1745,1275,1481,1063,264,212,837096,451719,385377,784172,424674,359498,52924,48200,27045,23432,25879,24768
2,13102,中央区,513030,262257,250773,510146,260403,249743,2884,2454,1854,1539,1030,915,48819,44064,4755,44319,40166,4153,4500,3179,3898,2711,602,468,464211,218193,246018,465827,220237,245590,-1616,-725,-2044,-1172,428,447
2,13103,港区,759822,402865,356957,733161,386940,346221,26661,21481,15925,12130,10736,9351,47640,41860,5780,41512,36620,4892,6128,4026,5240,3371,888,655,712182,361005,351177,691649,350320,341329,20533,17455,10685,8759,9848,8696
2,13104,新宿区,517475,305442,212033,463014,274555,188459,54461,51351,30887,28533,23574,22818,73331,67018,6313,65609,60066,5543,7722,5880,6952,5193,770,687,444144,238424,205720,397405,214489,182916,46739,45471,23935,23340,22804,22131
2,13105,文京区,188584,105905,82679,143715,80449,63266,44869,39688,25456,21193,19413,18495,75005,67999,7006,66916,60844,6072,8089,6297,7155,5490,934,807,113579,37906,75673,76799,19605,57194,36780,33391,18301,15703,18479,17688
2,13106,台東区,151747,74666,77081,144857,69665,75192,6890,6046,5001,4190,1889,1856,56016,50235,5781,51340,46130,5210,4676,3793,4105,3293,571,500,95731,24431,71300,93517,23535,69982,2214,2253,896,897,1318,1356
2,13107,墨田区,95956,51148,44808,89552,46390,43162,6404,5417,4758,3966,1646,1451,86070,77897,8173,79629,72413,7216,6441,5571,5484,4758,957,813,9886,-26749,36635,9923,-26023,35946,-37,-154,-726,-792,689,638
2,13108,江東区,260181,128617,131564,251255,122700,128555,8926,7765,5917,5047,3009,2718,150678,135569,15109,135723,122692,13031,14955,12279,12877,10558,2078,1721,109503,-6952,116455,115532,8,115524,-6029,-4514,-6960,-5511,931,997
2,13109,品川区,286240,134448,151792,270540,126798,143742,15700,13564,7650,6397,8050,7167,126573,110265,16308,115619,101060,14559,10954,8719,9205,7310,1749,1409,159667,24183,135484,154921,25738,129183,4746,4845,-1555,-913,6301,5758
2,13110,目黒区,96940,55178,41762,81039,45276,35763,15901,14194,9902,8661,5999,5533,83230,74587,8643,74163,66858,7305,9067,6550,7729,5523,1338,1027,13710,-19409,33119,6876,-21582,28458,6834,7644,2173,3138,4661,4506
2,13111,大田区,172369,63854,108515,162522,59739,102783,9847,9256,4115,3745,5732,5511,198424,161640,36784,178498,145648,32850,19926,16605,15992,13333,3934,3272,-26055,-97786,71731,-15976,-85909,69933,-10079,-7349,-11877,-9588,1798,2239
2,13112,世田谷区,178824,89227,89597,131017,66676,64341,47807,41453,22551,18420,25256,23033,267652,237740,29912,237738,213037,24701,29914,23672,24703,19671,5211,4001,-88828,-148513,59685,-106721,-146361,39640,17893,17781,-2152,-1251,20045,19032
2,13113,渋谷区,363874,208856,155018,332314,192417,139897,31560,28489,16439,13979,15121,14510,56422,51676,4746,50333,46306,4027,6089,4340,5370,3785,719,555,307452,157180,150272,281981,146111,135870,25471,24149,11069,10194,14402,13955
2,13114,中野区,84510,58274,26236,69249,47669,21580,15261,13034,10605,8664,4656,4370,103623,97305,6318,94618,89016,5602,9005,7689,8289,7022,716,667,-19113,-39031,19918,-25369,-41347,15978,6256,5345,2316,1642,3940,3703
2,13115,杉並区,89278,68095,21183,69408,53318,16090,19870,17259,14777,12429,5093,4830,182318,171120,11198,164300,154593,9707,18018,14621,16527,13236,1491,1385,-93040,-103025,9985,-94892,-101275,6383,1852,2638,-1750,-807,3602,3445
2,13116,豊島区,195284,102731,92553,161808,85001,76807,33476,29804,17730,15016,15746,14788,84815,76631,8184,76211,68924,7287,8604,6982,7707,6190,897,792,110469,26100,84369,85597,16077,69520,24872,22822,10023,8826,14849,13996
2,13117,北区,83137,36230,46907,71504,29723,41781,11633,9476,6507,4897,5126,4579,106332,92359,13973,97171,84356,12815,9161,7943,8003,6956,1158,987,-23195,-56129,32934,-25667,-54633,28966,2472,1533,-1496,-2059,3968,3592
